fireID,fireName,fireYear,fireMonth,startDate,endDate,fireSize,lat,long,totalObs,desert
360,ALAMO,2016,8,20160719,20160819,136.4,32.72623563,-114.7196636,1,Sonoran
941,AVENAL,2008,8,20080819,20080820,945.3325,35.96644944,-120.1777751,11,San Joaquin
329,BANNER FIRE,2012,5,20120524,20120529,5320.116,33.05534998,-116.4489329,2,Sonoran
929,BASALT,2004,5,20040521,20040521,410.184,37.06256718,-121.0330525,22,San Joaquin
926,BECK,2000,,,,396.3609,35.35774545,-120.0181144,2,San Joaquin
673,BLAIR,2006,,,,66.48067,35.00435135,-115.4896674,1,Mojave
505,BLAISDELL,2005,8,20050826,20050830,5491.788,33.8724992,-116.6361786,2,Sonoran
508,BLUE CUT,2002,6,20020616,20020622,6821.039,34.3477355,-117.4940366,2,Mojave
414,BLUE CUT,2016,8,20160816,20160823,36266.55,34.3307838,-117.4500281,4,Mojave
1110,BOBCAT,2020,9,20200906,20201218,115997.5701,34.44409202,-117.8787415,9,Mojave
935,BROWN,2008,6,20080621,20080624,3786.915,36.68727697,-120.9202581,3,San Joaquin
1092,COTTON,2010,5,20100515,20100517,2037.958,35.06121708,-119.8855852,1,San Joaquin
939,COTTONWOOD2,2008,7,20080710,20080711,796.5697,37.0982181,-121.1349579,1,San Joaquin
506,COYOTE,2003,7,20030716,20030726,18704.78,33.40436775,-116.5459773,1,Sonoran
1112,DEL PUERTO,2020,10,20200816,20201001,390647.2556,37.34377696,-121.2251403,15,San Joaquin
1109,DOME,2020,9,20200816,20200914,44211.08459,35.29355274,-115.5846466,125,Mojave
721,DOS AMIGOS,2005,6,20050603,20050603,746.0347,36.90558058,-120.8210259,1,San Joaquin
283,DOS PALMAS,2008,4,20080413,20080415,456.4143,33.49849723,-115.822648,1,Sonoran
368,DRAPER,2017,10,20170912,20171005,754.3,33.20674823,-114.679941,3,Sonoran
314,EAGLE,2011,7,20200721,20200729,13992.99,33.32105597,-116.4708142,16,Sonoran
76,ELM,2005,6,20050602,20050604,271.6541,33.89465401,-116.7363123,1,Sonoran
1045,GARZA,2017,7,20170709,20170721,48886.66,35.95911859,-120.3067694,2,San Joaquin
565,HACKBERRY COMPLEX 1,2005,6,20050622,20050624,63771.3,35.11426809,-115.4156769,31,Mojave
356,HAUGHTELIN,2010,5,20100507,20100507,2319.5,32.76356089,-114.5673796,1,Sonoran
1021,HUDSON,2017,7,20170718,20170719,1182.301,34.94899585,-119.4659252,1,San Joaquin
856,HWY166,2004,,,,65.16033,34.89591211,-119.5013951,2,San Joaquin
78,INDIAN 2,2005,9,20050909,20050910,188.7452,33.99924127,-116.5737841,1,Sonoran
1108,LAKE,2020,9,20200812,20200928,30999.28856,34.73322974,-118.4942957,1,Mojave
73,LOS FLORES,2007,4,20070331,20070401,4099.966,34.35697217,-117.2736978,1,Mojave
518,LOUISIANA,2002,6,20020626,20020630,6564.211,34.31946995,-117.4915205,2,Mojave
383,MATZ,2017,5,20170529,20170530,14.05731,34.03618746,-116.5650819,1,Mojave
997,MCCABE,2015,7,20150718,20150721,1728.974,37.15567659,-121.1390449,3,San Joaquin
1111,MINERAL,2020,7,20200713,20200726,29666.84215,36.14644556,-120.5128089,1,San Joaquin
351,MOFFAT,2018,5,20180419,20180521,1253.925,36.67894243,-118.0858687,3,Mojave
331,MOUNTAIN,2013,7,20130715,20130730,27523.67,33.73122173,-116.5635617,3,Sonoran
296,NARROWS,2010,6,20100616,20100630,49.86191,33.11176492,-116.4454723,3,Sonoran
911,NEW IDRIA,2003,5,20020518,20020518,632.0136,36.53419387,-120.8250935,2,San Joaquin
512,OLD,2003,11,20031025,20031114,91428,34.32877712,-117.3564521,6,Mojave
264,PALM#1,2002,,,,94.97114,33.28524217,-116.4412966,1,Sonoran
271,PARADISE,2005,6,20050622,20050625,3081.726,34.0502987,-116.5565552,23,Mojave
946,PARKWAY,2009,6,20090622,20090622,689.9021,34.96386845,-118.9447029,1,San Joaquin
409,PILOT,2016,8,20160807,20160816,8110.823,34.32035803,-117.2692109,1,Mojave
263,PINES,2002,8,20020729,20020816,61691.24,33.19233505,-116.5063989,17,Sonoran
418,POWERHOUSE,2013,6,20130530,20130608,30267.57,34.72406129,-118.4373119,6,Mojave
311,RANGE,2011,,,,241.0146,34.76925673,-118.5594779,1,Mojave
968,REED,2011,9,20110910,20110911,5899.568,35.5150914,-118.9554293,1,San Joaquin
332,RIVER,2013,2,20130224,20130228,406.8415,36.59942612,-118.0306635,1,Mojave
873,ROMERO,2000,8,20000809,20000909,1706.85,37.08589732,-121.0767239,52,San Joaquin
938,ROMERO,2008,7,20080721,20080722,766.0438,37.08008141,-121.074012,5,San Joaquin
971,ROMERO,2011,7,20110723,20110723,451.0401,37.07961579,-121.0792673,1,San Joaquin
727,SAN LUIS,2005,,,,332.2597,37.07879837,-121.0746693,2,San Joaquin
1107,SANDY,2016,7,20160716,20160716,0,37.18348295,-120.6608889,1,San Joaquin
261,SAWTOOTH COMPLEX,2006,7,20060709,20060720,61767.18,34.16708681,-116.4966976,1,Mojave
1094,SCHOOL,2014,4,20140430,20140430,223.7788,34.92581722,-119.4055639,4,San Joaquin
359,SENATOR,2012,,,,47.72357,32.88376376,-114.4825498,1,Sonoran
678,SODA,2005,6,20050604,20050604,449.4977,35.02683855,-119.582939,1,San Joaquin
974,SODA,2011,9,20110903,20110904,1533.496,34.94613348,-119.463646,1,San Joaquin
1086,SODA,2016,6,20160604,20160619,2000.281,35.36026687,-119.9380885,4,San Joaquin
417,STEWART,2012,8,20120813,20120819,10630.18,33.13597399,-116.4938346,19,Sonoran
291,TECOPA,2010,8,20100828,20100830,105.7345,35.84230728,-116.2258429,17,Mojave
392,TECOPA,2017,9,20170911,20170915,26.99327,35.88035718,-116.236086,1,Mojave
358,TOPOCK,2016,4,20160406,20160409,2228.4,34.73711027,-114.517961,1,Mojave
531,TRAM,2013,8,20130806,20130808,59.22004,33.83504964,-116.6112118,1,Sonoran
975,TURKEY,2012,7,20120709,20120720,2530.048,35.8324844,-120.2746445,3,San Joaquin
82,VERBENIA,2004,7,20040711,20040716,3831.371,33.88638478,-116.7001049,2,Sonoran
400,VIEW,2012,6,20120617,20120618,376.1476,33.94371829,-116.655438,1,Sonoran
1087,WASH,2010,5,20100515,20100516,947.4305,35.11568487,-119.7855199,1,San Joaquin
410,WINDY POINT,2011,9,20110925,20110926,541.494,33.86707172,-116.5950287,1,Sonoran
