obsID,species,fireID,year,month,day
95326,Empidonax traillii,271,2005,6,1
147345,Empidonax traillii,271,2005,6,9
151993,Empidonax traillii,271,2005,6,1
159618,Gymnogyps californianus,1094,2014,4,12
169699,Empidonax traillii,271,2005,6,6
254184,Empidonax traillii,271,2005,6,9
162134,Riparia riparia,360,2016,8,31
44169,Melanerpes uropygialis,356,2010,5,20
49463,Empidonax traillii,1110,2020,9,21
63460,Empidonax traillii,291,2010,8,21
68781,Haliaeetus leucocephalus,727,2011,7,13
68781,Haliaeetus leucocephalus,873,2011,7,13
68781,Haliaeetus leucocephalus,938,2011,7,13
68781,Haliaeetus leucocephalus,939,2011,7,13
68781,Haliaeetus leucocephalus,971,2011,7,13
77320,Empidonax traillii,1110,2020,9,1
80993,Buteo swainsoni,418,2013,6,19
90289,Buteo swainsoni,1107,2016,7,10
95891,Melanerpes uropygialis,358,2016,4,19
133034,Empidonax traillii,1110,2020,9,4
137845,Melanerpes uropygialis,360,2016,8,18
138177,Agelaius tricolor,727,2011,7,13
138177,Agelaius tricolor,929,2011,7,13
138177,Agelaius tricolor,938,2011,7,13
138177,Agelaius tricolor,971,2011,7,13
172083,Gymnogyps californianus,1094,2014,4,29
172151,Empidonax traillii,1110,2020,9,5
228656,Empidonax traillii,1110,2020,9,14
241753,Empidonax traillii,1110,2020,9,8
251441,Melanerpes uropygialis,358,2016,4,19
44169,Melanerpes uropygialis,356,2010,5,20
49463,Empidonax traillii,1110,2020,9,21
63460,Empidonax traillii,291,2010,8,21
68781,Haliaeetus leucocephalus,727,2011,7,13
68781,Haliaeetus leucocephalus,873,2011,7,13
68781,Haliaeetus leucocephalus,938,2011,7,13
68781,Haliaeetus leucocephalus,939,2011,7,13
68781,Haliaeetus leucocephalus,971,2011,7,13
77320,Empidonax traillii,1110,2020,9,1
80993,Buteo swainsoni,418,2013,6,19
90289,Buteo swainsoni,1107,2016,7,10
95891,Melanerpes uropygialis,358,2016,4,19
133034,Empidonax traillii,1110,2020,9,4
137845,Melanerpes uropygialis,360,2016,8,18
138177,Agelaius tricolor,727,2011,7,13
138177,Agelaius tricolor,929,2011,7,13
138177,Agelaius tricolor,938,2011,7,13
138177,Agelaius tricolor,971,2011,7,13
172083,Gymnogyps californianus,1094,2014,4,29
172151,Empidonax traillii,1110,2020,9,5
228656,Empidonax traillii,1110,2020,9,14
241753,Empidonax traillii,1110,2020,9,8
251441,Melanerpes uropygialis,358,2016,4,19
