obsID,species,fireID,year,fireyear,month,day,pre_or_post
95326,Empidonax traillii,271,2005,2005,6,1,pre
147345,Empidonax traillii,271,2005,2005,6,9,pre
151993,Empidonax traillii,271,2005,2005,6,1,pre
169699,Empidonax traillii,271,2005,2005,6,6,pre
254184,Empidonax traillii,271,2005,2005,6,9,pre
63460,Empidonax traillii,291,2010,2010,8,21,pre
63460,Empidonax traillii,291,2010,2010,8,21,pre
44169,Melanerpes uropygialis,356,2010,2010,5,20,pre
44169,Melanerpes uropygialis,356,2010,2010,5,20,pre
95891,Melanerpes uropygialis,358,2016,2016,4,19,post
251441,Melanerpes uropygialis,358,2016,2016,4,19,post
95891,Melanerpes uropygialis,358,2016,2016,4,19,post
251441,Melanerpes uropygialis,358,2016,2016,4,19,post
162134,Riparia riparia,360,2016,2016,8,31,post
137845,Melanerpes uropygialis,360,2016,2016,8,18,post
137845,Melanerpes uropygialis,360,2016,2016,8,18,post
80993,Buteo swainsoni,418,2013,2013,6,19,post
80993,Buteo swainsoni,418,2013,2013,6,19,post
68781,Haliaeetus leucocephalus,971,2011,2011,7,13,pre
138177,Agelaius tricolor,971,2011,2011,7,13,pre
68781,Haliaeetus leucocephalus,971,2011,2011,7,13,pre
138177,Agelaius tricolor,971,2011,2011,7,13,pre
159618,Gymnogyps californianus,1094,2014,2014,4,12,pre
172083,Gymnogyps californianus,1094,2014,2014,4,29,pre
172083,Gymnogyps californianus,1094,2014,2014,4,29,pre
90289,Buteo swainsoni,1107,2016,2016,7,10,pre
90289,Buteo swainsoni,1107,2016,2016,7,10,pre
49463,Empidonax traillii,1110,2020,2020,9,21,post
77320,Empidonax traillii,1110,2020,2020,9,1,pre
133034,Empidonax traillii,1110,2020,2020,9,4,pre
172151,Empidonax traillii,1110,2020,2020,9,5,pre
228656,Empidonax traillii,1110,2020,2020,9,14,post
241753,Empidonax traillii,1110,2020,2020,9,8,post
49463,Empidonax traillii,1110,2020,2020,9,21,post
77320,Empidonax traillii,1110,2020,2020,9,1,pre
133034,Empidonax traillii,1110,2020,2020,9,4,pre
172151,Empidonax traillii,1110,2020,2020,9,5,pre
228656,Empidonax traillii,1110,2020,2020,9,14,post
241753,Empidonax traillii,1110,2020,2020,9,8,post
