,Species,Common Name,Federal Status,State Status
1,Branchinecta lynchi,Vernal pool fairy shrimp,FT,
2,Dinacoma caseyi,Casey's June beetle,FE,
3,Danaus plexippus,Monarch,,FC
4,Euproserpinus euterpe,Kern primrose sphinx moth,,FT
5,Bombus crotchii,Crotch bumble bee,,SC
6,Cyprinodon macularius,Desert pupfish,FE,SE
7,Ambystoma californiense,California tiger salamander,FE,ST
8,Batrachoseps stebbinsi,Tehachapi slender salamander,,ST
9,Anaxyrus californicus,Arroyo toad,FE,
10,Rana boylii,Foothill yellow-legged frog,,SE
11,Rana draytonii,"California red-legged
frog",FT,
12,Rana muscosa,Southern mountain yellow-legged frog,FE,SE
13,Gopherus agassizii,Desert tortoise,FT,SCE
14,Coleonyx switaki,Barefoot gecko,,ST
15,Gambelia sila,Blunt-nosed leopard lizard,FE,SE
16,Uma inornata,Coachella Valley fringe-toed lizard,FT,SE
17,Gymnogyps californianus,California condor,FE,SE
18,Buteo swainsoni,Swainson's hawk,,ST
19,Haliaeetus leucocephalus,Bald eagle,FDR,SE
20,Micrathene whitneyi,Elf owl,,SE
21,Colaptes chrysoides,Gilded northern flicker,,SE
22,Melanerpes uropygialis,Gila woodpecker,,SE
23,Empidonax traillii,Willow flycatcher,,SE
24,Riparia riparia,Bank swallow,,ST
25,Agelaius tricolor,Tricolored blackbird,,ST
26,Ammospermophilus nelsoni,Nelson's antelope squirrel,,ST
27,Xerospermophilus mohavensis,Mohave ground squirrel,,ST
28,Dipodomys ingens,Giant kangaroo rat,FE,SE
29,Puma concolor,Mountain lion,,SC
30,Ovis canadensis nelsoni,Peninsular bighorn sheep,FE,ST
31,Rallus obsoletus yumanensis,Yuma Ridgway's rail,FE,ST
32,Vireo bellii pusillus,Least Bell’s vireo,FE,SE
33,Pelecanus occidentalis,California brown pelican,FDR,SDR
34,Dipodomys nitratoides nitratoides,Tipton kangaroo rat,FE,SE
35,Falco peregrinus anatum,American peregrine falcon,FDR,SDR
36,Branta hutchinsii leucopareia,Cackling goose,FDR,
37,Vulpes macrotis mutica,San Joaquin kit fox,FE,ST
