FID,FID_,INCIDENT,FIRE_YEARn,GISAcres,fireID,BUFF_DIST,buff_area
0,13,LOS FLORES,2007,4099.966,73,1000,5461
1,16,ELM,2005,271.6541,76,1000,2037
2,18,INDIAN 2,2005,188.7452,78,1000,1823
3,21,VERBENIA,2004,3831.371,82,1000,4300
4,28,SAWTOOTH COMPLEX,2006,61767.18,261,1000,21263
5,30,PINES,2002,61691.24,263,1000,27880
6,31,PALM#1,2002,94.97114,264,1000,948
7,36,PARADISE,2005,3081.726,271,1000,6825
8,48,DOS PALMAS,2008,456.4143,283,1000,2758
9,56,TECOPA,2010,105.7345,291,1000,2008
10,61,NARROWS,2010,49.86191,296,1000,1444
11,76,RANGE,2011,241.0146,311,1000,1996
12,79,EAGLE,2011,13992.99,314,1000,10110
13,94,BANNER FIRE,2012,5320.116,329,1000,7663
14,96,MOUNTAIN,2013,27523.67,331,1000,4308
15,97,RIVER,2013,406.8415,332,1000,2317
16,116,MOFFAT,2018,1253.925,351,1000,5273
17,119,HAUGHTELIN,2010,2319.5,356,1000,3615
18,121,TOPOCK,2016,2228.4,358,1000,2972
19,122,SENATOR,2012,47.72357,359,1000,1408
20,123,ALAMO,2016,136.4,360,1000,1753
21,131,DRAPER,2017,754.3,368,1000,4002
22,146,MATZ,2017,14.05731,383,1000,785
23,155,TECOPA,2017,26.99327,392,1000,1205
24,163,VIEW,2012,376.1476,400,1000,2327
25,172,PILOT,2016,8110.823,409,1000,4363
26,173,WINDY POINT,2011,541.494,410,1000,2171
27,177,BLUE CUT,2016,36266.55,414,1000,15282
28,180,STEWART,2012,10630.18,417,1000,8290
29,181,POWERHOUSE,2013,30267.57,418,1000,9729
30,190,BLAISDELL,2005,5491.788,505,1000,6101
31,191,COYOTE,2003,18704.78,506,1000,7988
32,193,BLUE CUT,2002,6821.039,508,1000,2855
33,197,OLD,2003,91428,512,1000,9371
34,203,LOUISIANA,2002,6564.211,518,1000,1550
35,216,TRAM,2013,59.22004,531,1000,1167
36,253,BLAIR,2006,66.48067,673,1000,1193
37,256,SODA,2005,449.4977,678,1000,2125
38,273,DOS AMIGOS,2005,746.0347,721,1000,3220
39,279,SAN LUIS,2005,332.2597,727,1000,1055
40,298,HWY166,2004,65.16033,856,1000,1285
41,305,ROMERO,2000,1706.85,873,1000,3568
42,315,NEW IDRIA,2003,632.0136,911,1000,2574
43,318,BECK,2000,396.3609,926,1000,2259
44,321,BASALT,2004,410.184,929,1000,2879
45,327,BROWN,2008,3786.915,935,1000,5556
46,330,ROMERO,2008,766.0438,938,1000,1916
47,331,COTTONWOOD2,2008,796.5697,939,1000,2359
48,333,AVENAL,2008,945.3325,941,1000,3241
49,338,PARKWAY,2009,689.9021,946,1000,2144
50,360,REED,2011,5899.568,968,1000,5632
51,363,ROMERO,2011,451.0401,971,1000,1303
52,366,SODA,2011,1533.496,974,1000,5293
53,367,TURKEY,2012,2530.048,975,1000,5365
54,389,MCCABE,2015,1728.974,997,1000,3605
55,413,HUDSON,2017,1182.301,1021,1000,3096
56,437,GARZA,2017,48886.66,1045,1000,20821
57,478,SODA,2016,2000.281,1086,1000,4139
58,479,WASH,2010,947.4305,1087,1000,2771
59,484,COTTON,2010,2037.958,1092,1000,4283
60,486,SCHOOL,2014,223.7788,1094,1000,1739
61,494,SANDY,2016,0,1107,1000,1430
62,495,LAKE,2020,30999.2885572,1108,1000,3232
63,496,DOME,2020,44211.0845875,1109,1000,17321
64,497,BOBCAT,2020,115997.570061,1110,1000,19113
65,498,MINERAL,2020,29666.8421487,1111,1000,14481
66,499,DEL PUERTO,2020,390647.255599,1112,1000,25919
67,501,HACKBERRY COMPLEX 1,2005,63771.3,565,1000,30414
